aob,bulb_angle_vc_1,bulb_angle_vc_2,bulb_angle_vc_3,bulb_angle_vg_1,bulb_angle_vg_2,bulb_angle_vg_3,epa,platthick,fweight,coretype,bevel
0,159.85,153.81,151.52,157,156,156,65,6.185,68.5,SPHERICAL,SPHERICAL
10,148.68,145.4,142.37,147,150,150,65,7.3925,21.6,SEMISPHERICAL,NONE
40,130.64,121.05,116.46,130,127,124,65,6.6775,4.2,SEMISPHERICAL,NONE
30,136.95,124.66,120.48,145,133,127,65,6.125,4.4,SEMISPHERICAL,NONE
30,139,132.91,129.23,141,136,135,65,6.0425,4.9,SEMISPHERICAL,NONE
30,139.03,125.82,121.03,143,134,128,65,4.585,2.2,SEMISPHERICAL,NONE
30,134.03,125.52,121.73,140,133,131,65,5.9575,3,SEMISPHERICAL,NONE
20,136.3,128.74,121.89,139,138,132,75,5.045,6.1,SEMISPHERICAL,NONE
20,136.03,128.19,123.19,131,134,131,75,4.2925,7.9,SEMISPHERICAL,NONE
20,144.25,136.38,133.11,144,142,137,75,6.42,34.4,SEMISPHERICAL,SANDER
20,136.27,126.02,61.92,136,133,116,75,2.0075,8.3,SEMISPHERICAL,GRINDER
20,136.86,134.07,131.19,133,142,141,75,5.195,15.1,SEMISPHERICAL,GRINDER
20,140.03,121.08,109.79,138,134,120,75,3.82,15.1,SEMISPHERICAL,GRINDER
30,134.18,123.61,118.56,140,130,124,75,4.15,2.3,SEMISPHERICAL,NONE
30,136.99,129.35,124.12,134,132,134,95,6.4625,24.5,SEMISPHERICAL,NONE
30,128.73,125.22,123.82,130,132,133,95,6.3175,23.3,SEMISPHERICAL,NONE
40,133.2,131.49,127.63,129,134,136,65,7.7475,6.3,SEMISPHERICAL,NONE
40,142.19,128.55,120.81,144,133,131,65,12.855,20.8,SEMISPHERICAL,NONE
10,136.68,132.69,130.43,137,136,135,65,5.145,4.8,SEMISPHERICAL,NONE
10,147.94,140.26,133.81,145,142,144,65,8.86,28.8,SEMISPHERICAL,NONE
10,142.6,139.76,137.34,143,142,142,65,6.845,11.6,SEMISPHERICAL,NONE
10,142.17,135.29,129.54,149,145,140,65,3.92,2.7,SEMISPHERICAL,NONE
20,140.73,134.78,129.33,143,137,134,65,3.665,28,SEMISPHERICAL,GRINDER
20,139.28,131.21,128.14,138,135,132,65,4.0275,9.3,CENTERRIDGE,SANDER
20,138.44,126.87,121.17,142,133,126,85,3.945,10,CENTERRIDGE,NONE
20,144.24,139.25,137.25,143,144,144,65,8.985,16.3,SEMISPHERICAL,NONE
20,136.62,133.88,129.97,136,142,140,65,10.1,26,SEMISPHERICAL,NONE
20,142.23,137.47,135.27,139,141,141,65,10.9925,28.9,SEMISPHERICAL,NONE
20,147.8,143.4,137.03,148,151,147,65,7.5725,15.7,SEMISPHERICAL,NONE
20,136.24,133.73,132.26,135,137,137,65,9.8875,24.9,CENTERRIDGE,SANDER
20,144.9,136.86,130.12,145,144,141,65,6.295,10.9,CENTERRIDGE,SANDER
20,145.38,135.6,129.97,144,138,135,65,7.375,23.8,CENTERRIDGE,SANDER
20,145.75,137.94,131.07,146,147,140,65,4.445,4.6,CENTERRIDGE,SANDER
0,140.25,107.62,104.98,147,136,109,65,1.915,0.6,SEMISPHERICAL,NONE
0,153.61,139.96,133.72,162,142,140,65,4.3875,8.9,SEMISPHERICAL,NONE
0,147.52,144.89,139.68,149,148,144,65,5.375,11.7,SEMISPHERICAL,NONE
0,148.33,143.44,138.18,153,146,142,65,3.95,3.5,SEMISPHERICAL,NONE
0,153.72,148.01,142.86,151,151,149,65,5.33,7.7,SEMISPHERICAL,NONE
10,144.01,141.65,139.28,141,139,142,75,4.795,44.8,SPHERICAL,NONE
10,137.06,130.85,126.37,138,132,132,75,4.275,22.4,SPHERICAL,NONE
0,149.38,141.9,135.85,155,148,145,75,4.29,31.6,SEMISPHERICAL,NONE
0,151.75,144.85,139.25,152,153,148,75,4.74,31.8,SEMISPHERICAL,NONE
0,148.45,140.8,136.77,149,142,137,75,5.755,57.2,SEMISPHERICAL,NONE
30,136.58,130.59,126.24,144,141,143,75,9.12,30,SEMISPHERICAL,NONE
30,134.13,128.45,126.97,137,137,135,75,8.325,24,SEMISPHERICAL,NONE
30,134.52,130.8,125.91,135,134,136,75,9.465,26.6,SEMISPHERICAL,NONE
30,145.27,138.41,132.32,147,143,140,75,9.21,56.2,SEMISPHERICAL,NONE
30,135.97,130.18,123.86,139,132,132,75,7.705,24.8,SEMISPHERICAL,NONE
30,140.41,134.23,126.37,142,138,140,75,5.375,13.3,SEMISPHERICAL,NONE
5,149.56,141.65,133.01,153,149,143,65,4.73,6.3,SEMISPHERICAL,NONE
5,146.06,138.22,132.13,148,143,137,65,4.695,6.2,SEMISPHERICAL,NONE
5,148.43,144.01,138.51,154,150,145,65,4.69,5.3,SEMISPHERICAL,NONE
5,124.04,86.68,67.16,135,104,77,65,3.065,1.7,SEMISPHERICAL,NONE